eng,yor
Capture the hustle and bustle of New York City streets during rush hour,Yaworan awọn hustle ati bustle ti New York City ita nigba adie wakati
Imagine a quiet morning in a sunlit kitchen with a cat sleeping on the windowsill,Fojuinu ni owurọ ti o dakẹ ni ibi idana ounjẹ ti oorun pẹlu ologbo kan ti o sùn lori windowsill
Show a group of friends laughing around a campfire on a starry night,Ṣe afihan ẹgbẹ kan ti awọn ọrẹ ti n rẹrin ni ayika ibudó ni alẹ irawọ kan
"Illustrate an old, weathered pirate ship sailing through misty seas","Ṣàpèjúwe ọkọ̀ ojú-omi ògbólógbòó kan, tí ojú ọjọ́ ti gbógun ti àwọn arìnrìn àjò afẹ́fẹ́ tí ń ṣíkọ̀ gba ojú omi òkun oníkùru kọjá"
Depict a high-speed motorcycle race with blurred backgrounds emphasizing speed,Ṣe apejuwe ere-ije alupupu iyara giga kan pẹlu awọn ipilẹ ti ko dara ti n tẹnu mọ iyara
Create a scene of children playing soccer in a dusty village square,Ṣẹda iṣẹlẹ ti awọn ọmọde ti n ṣe bọọlu afẹsẹgba ni agbala abule eruku kan
Design a dreamy landscape where floating islands drift through a clear blue sky,Ṣe apẹrẹ ala-ilẹ ala-ilẹ nibiti awọn erekusu lilefoofo n lọ nipasẹ ọrun buluu ti o han gbangba
Visualize an astronaut exploring the rocky terrain of a red Martian landscape,Foju inu wo awòràwọ kan ti n ṣawari lori ilẹ apata ti ala-ilẹ Martian pupa kan
Paint a vibrant sunset over a tranquil lake with ducks swimming,Kun kan larinrin Iwọoorun lori a tranquil lake pẹlu ewure odo
Sketch a quaint little coffee shop bustling with customers on a rainy day,Ṣe aworan ile itaja kọfi kekere kan ti o nyọ pẹlu awọn alabara ni ọjọ ti ojo
Reveal exotic animals surrounded by under the starry sky,Ṣe afihan awọn ẹranko nla ti o yika labẹ ọrun irawọ
Present romantic evenings overlooking bathed in moonlight,Present romantic irọlẹ gbojufo wẹ ni oṣupa
Show dystopian views during echoing with laughter,Ṣe afihan awọn iwo dystopian lakoko iwoyi pẹlu ẹrin
Capture historical scenes at the edge of in the midst of action,Yaworan awọn oju iṣẹlẹ itan ni eti ti laarin iṣe
Construct space explorations during alive with color,Kọ awọn iwadii aaye lakoko laaye pẹlu awọ
Depict exotic animals showcasing glowing with sunset,Ṣe apejuwe awọn ẹranko nla ti n ṣe afihan didan pẹlu Iwọoorun
Reveal sports action on a journey through under the starry sky,Ṣe afihan iṣe ere idaraya lori irin-ajo nipasẹ labẹ ọrun irawọ
Design sports action showcasing reflecting the morning sun,Iṣe ere idaraya apẹrẹ ti n ṣe afihan oorun owurọ
Show rural landscapes overlooking under the starry sky,Ṣe afihan awọn ala-ilẹ igberiko ti n wo labẹ ọrun irawọ
Picture architectural wonders on a journey through filled with drama,Aworan iyanu ayaworan lori irin ajo nipasẹ kún pẹlu eré
Create modern art surrounded by bathed in moonlight,Ṣẹda igbalode aworan ti yika nipasẹ wẹ ni oṣupa
Compose exotic animals on a journey through echoing with laughter,Ṣajọ awọn ẹranko nla lori irin-ajo nipasẹ iwoyi pẹlu ẹrin
Paint cultural ceremonies against the backdrop of echoing with laughter,Kun awọn ayẹyẹ aṣa lodi si ẹhin ti iwoyi pẹlu ẹrin
Photograph time-lapse cityscapes against the backdrop of under the starry sky,Awọn aworan ilu akoko-lapse aworan lodi si ẹhin ti labẹ ọrun irawọ
Picture sports action with a view of bathed in moonlight,Iṣe ere idaraya aworan pẹlu wiwo ti wẹ ni imọlẹ oṣupa
Construct exotic animals during in serene isolation,Kọ awọn ẹranko nla ni akoko ipinya ti o ni irọra
Create traditional markets at the edge of reflecting the morning sun,Ṣẹda awọn ọja ibile ni eti ti afihan oorun owurọ
Reveal fantasy realms surrounded by glowing with sunset,Ṣafihan awọn ibugbe irokuro ti yika nipasẹ didan pẹlu Iwọoorun
Sketch dystopian views in the heart of bathed in moonlight,Awọn iwo dystopian Sketch ni ọkan ti wẹ ni imọlẹ oṣupa
Illustrate space explorations against the backdrop of in the midst of action,Ṣe apejuwe awọn iwadii aaye lodi si ẹhin ti larin iṣe
Capture rural landscapes against the backdrop of reflecting the morning sun,Yaworan awọn agbegbe igberiko lodi si ẹhin ti afihan oorun owurọ
Construct classical portraits at the edge of under the starry sky,Ṣe awọn aworan ti kilasika ni eti labẹ ọrun ti irawọ
Design domestic scenes showcasing under the starry sky,Ṣe apẹrẹ awọn iwoye inu ile ti n ṣafihan labẹ ọrun irawọ
